Latitude(deg),Longitude(deg),CPR,DOP,SLI_Row,SLI_Col
-87.714289,80.396124,1.038221,0.064384,23107,57
-87.713750,80.385520,1.010771,0.070280,23107,58
-87.714283,80.396637,1.056231,0.069531,23108,57
-87.713744,80.386035,1.026874,0.075898,23108,58
-87.714277,80.397151,1.094846,0.099029,23109,57
-87.713738,80.386550,1.049414,0.094520,23109,58
-87.713732,80.387065,1.086394,0.124253,23110,58
-87.709053,80.433718,1.168247,0.129696,23329,65
-87.707511,80.558412,1.059435,0.111200,23575,65
-87.707502,80.558882,1.027325,0.096339,23576,65
-87.707494,80.559351,1.009982,0.088774,23577,65
-87.707478,80.560289,1.003346,0.071120,23579,65
-87.707453,80.561700,1.015508,0.075104,23582,65
-87.707445,80.562171,1.034607,0.091281,23583,65
-87.707437,80.562642,1.044359,0.101388,23584,65
-87.707429,80.563112,1.041353,0.111441,23585,65
-87.723376,80.917709,1.070883,0.114423,23647,32
-87.723368,80.918184,1.059602,0.111632,23648,32
-87.723360,80.918659,1.055639,0.101456,23649,32
-87.723352,80.919134,1.054910,0.091885,23650,32
-87.723344,80.919608,1.049043,0.091812,23651,32
-87.723335,80.920083,1.026784,0.081682,23652,32
-87.723327,80.920558,1.059765,0.096289,23653,32
-87.723319,80.921033,1.072009,0.107335,23654,32
-87.717047,80.880447,1.235734,0.122081,23786,43
-87.716985,80.885579,1.169369,0.091596,23796,43
-87.716979,80.886092,1.125325,0.072298,23797,43
-87.716973,80.886605,1.109907,0.079060,23798,43
-87.716967,80.887119,1.083229,0.089092,23799,43
-87.716961,80.887632,1.080905,0.100982,23800,43
-87.716955,80.888145,1.118874,0.113892,23801,43
-87.717456,80.898744,1.048290,0.095063,23802,42
-87.716948,80.888658,1.185625,0.127975,23802,43
-87.717450,80.899259,1.129668,0.104960,23803,42
-87.717420,80.903129,1.200697,0.123855,23810,42
-87.717417,80.903690,1.163019,0.128147,23811,42
-87.711454,81.086518,1.085277,0.125854,24286,49
-87.711448,81.087031,1.129235,0.122535,24287,49
-87.710931,81.076657,1.009392,0.101799,24287,50
-87.711442,81.087544,1.165754,0.121046,24288,49
-87.710925,81.077172,1.063140,0.087435,24288,50
-87.711436,81.088058,1.172837,0.109072,24289,49
-87.710919,81.077686,1.113247,0.085739,24289,50
-87.711430,81.088571,1.162737,0.109958,24290,49
-87.710913,81.078200,1.119752,0.077688,24290,50
-87.710907,81.078715,1.115929,0.063529,24291,50
-87.710900,81.079229,1.067863,0.050924,24292,50
-87.710894,81.079743,1.017874,0.080743,24293,50
-87.710888,81.080258,1.043944,0.104889,24294,50
-87.710882,81.080772,1.083516,0.102626,24295,50
-87.710876,81.081286,1.084942,0.118307,24296,50
-87.710858,81.082829,1.109008,0.096724,24299,50
-87.710341,81.072467,1.060738,0.123259,24299,51
-87.710852,81.083344,1.054976,0.074821,24300,50
-87.710335,81.072983,1.007753,0.129710,24300,51
-87.710846,81.083858,1.047104,0.098024,24301,50
-87.710840,81.084372,1.091928,0.125942,24302,50
-87.712266,81.219276,1.068860,0.118973,24469,45
-87.712259,81.219772,1.085922,0.128182,24470,45
-87.712252,81.220268,1.054726,0.114267,24471,45
-87.712245,81.220764,1.046367,0.110045,24472,45
-87.712238,81.221260,1.052533,0.129562,24473,45
-87.712224,81.222252,1.011090,0.119244,24475,45
-87.635691,80.401729,1.075348,0.126653,25552,194
-87.635678,80.404523,1.092875,0.129592,25557,194
-87.635675,80.405082,1.132797,0.119150,25558,194
-87.635673,80.405641,1.103601,0.113807,25559,194
-87.635670,80.406200,1.048180,0.115589,25560,194
-87.635667,80.406758,1.032900,0.116841,25561,194
-87.635665,80.407317,1.051959,0.100469,25562,194
-87.635662,80.407876,1.118132,0.115280,25563,194
-87.597381,80.541050,1.133765,0.106260,26972,259
-87.597375,80.541543,1.105641,0.083094,26973,259
-87.597369,80.542036,1.108147,0.075272,26974,259
-87.597363,80.542528,1.110580,0.055937,26975,259
-87.597357,80.543021,1.095658,0.064578,26976,259
-87.597352,80.543514,1.103423,0.078016,26977,259
-87.597346,80.544006,1.117738,0.067754,26978,259
-87.597340,80.544499,1.093331,0.076483,26979,259
-87.597334,80.544992,1.076522,0.068907,26980,259
-87.597328,80.545485,1.125622,0.075474,26981,259
-87.597323,80.545977,1.141222,0.123282,26982,259
-87.597759,80.555952,1.102743,0.127627,26985,258
-87.597753,80.556448,1.104297,0.125126,26986,258
-87.597748,80.556943,1.091923,0.116745,26987,258
-87.597742,80.557438,1.100010,0.112499,26988,258
-87.598191,80.566441,1.238017,0.126746,26989,257
-87.597736,80.557933,1.110472,0.106731,26989,258
-87.598185,80.566938,1.226405,0.119267,26990,257
-87.597731,80.558429,1.094778,0.094043,26990,258
-87.598180,80.567436,1.226178,0.120118,26991,257
-87.597725,80.558924,1.074871,0.082649,26991,258
-87.598174,80.567934,1.202266,0.111674,26992,257
-87.597719,80.559419,1.050592,0.072499,26992,258
-87.598169,80.568432,1.171160,0.095885,26993,257
-87.597714,80.559915,1.053615,0.072185,26993,258
-87.598163,80.568930,1.192833,0.099330,26994,257
-87.597708,80.560410,1.099523,0.076127,26994,258
-87.598158,80.569428,1.232251,0.109823,26995,257
-87.597702,80.560905,1.131354,0.073222,26995,258
-87.598152,80.569926,1.276155,0.122933,26996,257
-87.597697,80.561401,1.156026,0.076855,26996,258
-87.597691,80.561896,1.200167,0.095109,26997,258
-87.597236,80.553368,1.000177,0.068097,26997,259
-87.597685,80.562391,1.205849,0.106246,26998,258
-87.597230,80.553861,1.022918,0.089672,26998,259
-87.598135,80.571420,1.241693,0.128267,26999,257
-87.597680,80.562887,1.168450,0.102828,26999,258
-87.597224,80.554354,1.019160,0.111079,26999,259
-87.598130,80.571917,1.241845,0.129033,27000,257
-87.597674,80.563382,1.179855,0.106066,27000,258
-87.597218,80.554846,1.042206,0.118208,27000,259
-87.678061,83.900195,1.001346,0.126547,29740,22
-87.677671,83.891666,1.014435,0.129195,29740,23
-87.678054,83.900694,1.025912,0.129859,29741,22
-87.616829,82.906677,1.004562,0.043861,30209,161
-87.616819,82.907098,1.045510,0.047932,30210,161
-87.616809,82.907519,1.043645,0.054486,30211,161
-87.616799,82.907940,1.091602,0.056132,30212,161
-87.616789,82.908361,1.174880,0.093652,30213,161
-87.616779,82.908782,1.143731,0.115600,30214,161
-87.616363,82.900275,1.114001,0.114867,30214,162
-87.616769,82.909203,1.082565,0.119627,30215,161
-87.616353,82.900695,1.085325,0.079106,30215,162
-87.616343,82.901116,1.117365,0.129611,30216,162
-87.615927,82.892607,1.189592,0.089308,30216,163
-87.615917,82.893026,1.236368,0.111926,30217,163
-87.615907,82.893445,1.250322,0.122922,30218,163
-87.615897,82.893864,1.257605,0.129803,30219,163
-87.613656,83.239723,1.180638,0.117467,30844,156
-87.613650,83.240215,1.146734,0.103079,30845,156
-87.613643,83.240708,1.140735,0.113055,30846,156
-87.613637,83.241200,1.172518,0.124489,30847,156
-87.613617,83.242677,1.164925,0.111665,30850,156
-87.613610,83.243169,1.107810,0.083027,30851,156
-87.613181,83.234319,1.114336,0.119447,30851,157
-87.613604,83.243662,1.054713,0.062437,30852,156
-87.613174,83.234809,1.072333,0.101709,30852,157
-87.613168,83.235300,1.054385,0.090883,30853,157
-87.613161,83.235791,1.050992,0.085989,30854,157
-87.613154,83.236281,1.045780,0.100024,30855,157
-87.448821,80.391228,1.143306,0.119667,31327,448
-87.448806,80.391533,1.184940,0.124072,31328,448
-87.448792,80.391839,1.151922,0.115422,31329,448
-87.448777,80.392144,1.160514,0.121880,31330,448
-87.448762,80.392450,1.178892,0.127951,31331,448
-87.448747,80.392755,1.103959,0.086060,31332,448
-87.448732,80.393061,1.032311,0.085700,31333,448
-87.448718,80.393366,1.026813,0.105948,31334,448
-87.448703,80.393672,1.089899,0.112271,31335,448
-87.448570,80.396422,1.261020,0.124695,31344,448
-87.607902,83.464475,1.132317,0.129568,31391,160
-87.607895,83.464956,1.162938,0.129112,31392,160
-87.444827,80.410804,1.001058,0.105084,31486,451
-87.444814,80.411143,1.004121,0.085927,31487,451
-87.445300,80.424787,1.061719,0.057558,31496,450
-87.444699,80.414199,1.032909,0.079912,31496,451
-87.445287,80.425124,1.155112,0.093570,31497,450
-87.444686,80.414538,1.121484,0.075036,31497,451
-87.445274,80.425461,1.242818,0.128019,31498,450
-87.444673,80.414878,1.216011,0.102071,31498,451
-87.444660,80.415217,1.295364,0.128946,31499,451
-87.425296,80.304699,1.042468,0.129045,31901,476
-87.424612,80.292799,1.013877,0.113960,31901,477
-87.425282,80.305027,1.015960,0.083838,31902,476
-87.425269,80.305355,1.051523,0.075164,31903,476
-87.424585,80.293447,1.042124,0.063207,31903,477
-87.424571,80.293772,1.106016,0.083839,31904,477
-87.425287,80.369030,1.090599,0.123907,32016,474
-87.425276,80.369408,1.065629,0.111249,32017,474
-87.425266,80.369787,1.047526,0.096934,32018,474
-87.425255,80.370165,1.031611,0.090642,32019,474
-87.425245,80.370544,1.093146,0.101931,32020,474
-87.425234,80.370922,1.167362,0.104950,32021,474
-87.425224,80.371301,1.148378,0.089882,32022,474
-87.425213,80.371679,1.137722,0.081836,32023,474
-87.425203,80.372058,1.139975,0.077179,32024,474
-87.425192,80.372436,1.153632,0.074406,32025,474
-87.425182,80.372815,1.182697,0.087784,32026,474
-87.425171,80.373193,1.156852,0.091490,32027,474
-87.425161,80.373571,1.111539,0.088855,32028,474
-87.425150,80.373949,1.035111,0.082876,32029,474
-87.426392,80.483686,1.005656,0.113453,32186,470
-87.426381,80.484047,1.043100,0.123116,32187,470
-87.426368,80.484392,1.059569,0.122814,32188,470
-87.426356,80.484736,1.071232,0.089908,32189,470
-87.426343,80.485080,1.078516,0.087762,32190,470
-87.426331,80.485425,1.080609,0.088373,32191,470
-87.426319,80.485769,1.092909,0.061778,32192,470
-87.426306,80.486113,1.116820,0.061152,32193,470
-87.426294,80.486458,1.097503,0.057656,32194,470
-87.426281,80.486802,1.037597,0.078784,32195,470
-87.425480,80.475614,1.041079,0.119991,32200,471
-87.424740,80.462705,1.217976,0.115415,32200,472
-87.424728,80.463046,1.143620,0.098983,32201,472
-87.424715,80.463388,1.090463,0.086398,32202,472
-87.424703,80.463729,1.083731,0.080959,32203,472
-87.424690,80.464070,1.074646,0.074529,32204,472
-87.424677,80.464412,1.051033,0.077068,32205,472
